"start_time","normalized_delay","normalized_speed","road_closed","normalized_temperature","normalized_humidity","normalized_windspeed","normalized_distance","end_time"
"20:07:22","-0.15777777777777777","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.5379812717975","20:07:24"
"20:07:11","-0.15777777777777777","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.52139919264125","20:07:24"
"20:07:12","-0.14","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.07641290505625","20:07:21"
"20:07:22","-0.10222222222222223","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.0143444932575","20:07:31"
"20:07:35","-0.3611111111111111","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.000179438775","20:07:37"
"20:07:26","-0.3611111111111111","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.009636271455","20:07:37"
"20:07:46","-0.3655555555555556","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.0013279744074999999","20:07:54"
"20:07:38","-0.3655555555555556","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.0059361057775","20:07:54"
"20:07:33","-0.08777777777777777","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.01047803991625","20:07:36"
"20:07:41","0.12777777777777777","0.6666666666666666",0,"0.28142857142857142857","0.87","0.00333333333333333333","0.00110375136875","20:07:44"
"20:07:38","0.12777777777777777","0.6666666666666666",0,"0.28142857142857142857","0.87","0.00333333333333333333","0.0026187260174999998","20:07:44"
"20:08:39","-0.08444444444444445","0.6808510638297872",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.0293288924425","20:08:43"
"20:08:28","-0.08444444444444445","0.6808510638297872",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.016951639215","20:08:43"
"20:08:16","-0.08444444444444445","0.6808510638297872",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.0059223231925000005","20:08:43"
"20:08:02","-0.08444444444444445","0.6808510638297872",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.0010295868537499998","20:08:43"
"20:07:50","-0.08444444444444445","0.6808510638297872",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.000889069915","20:08:43"
"20:07:48","-0.08444444444444445","0.6808510638297872",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.00085744452625","20:08:43"
"20:08:41","-0.3433333333333333","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.061831257455","20:08:46"
"20:08:30","-0.3433333333333333","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.05071566600625","20:08:46"
"20:08:19","-0.3433333333333333","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.035346063911249996","20:08:46"
"20:08:08","-0.3433333333333333","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.017601755897499998","20:08:46"
"20:07:57","-0.3433333333333333","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.004246482151250001","20:08:46"
"20:07:45","-0.3433333333333333","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.0001868265725","20:08:46"
"20:08:26","0.1388888888888889","0.7368421052631579",0,"0.28142857142857142857","0.87","0.00333333333333333333","0.029606558171250002","20:08:29"
"20:08:16","0.1388888888888889","0.7368421052631579",0,"0.28142857142857142857","0.87","0.00333333333333333333","0.01361456809125","20:08:29"
"20:08:07","0.1388888888888889","1",0,"0.28142857142857142857","0.87","0.00333333333333333333","0.0018175032175","20:08:29"
"20:07:52","0.1388888888888889","0.6666666666666666",0,"0.28142857142857142857","0.87","0.00333333333333333333","0.00096786382","20:08:29"
"20:08:08","-0.2722222222222222","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.014325602175","20:08:15"
"20:07:56","-0.2722222222222222","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.031252199447500004","20:08:15"
"20:07:59","-0.3322222222222222","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.0013279744074999999","20:08:19"
"20:08:16","-0.1388888888888889","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.02767749039125","20:08:19"
"20:08:20","-0.24444444444444444","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.0008769321774999999","20:08:38"
"20:08:20","-0.24444444444444444","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.00117226526625","20:08:38"
"20:08:29","0.33444444444444443","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.01395230735","20:08:30"
"20:08:27","-0.12555555555555556","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.027215097383749998","20:08:28"
"20:08:39","0.09333333333333334","1",0,"0.28142857142857142857","0.87","0.00333333333333333333","0.00112486280875","20:08:43"
"20:08:52","-0.21888888888888888","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.02676522454375","20:08:57"
"20:08:41","-0.21888888888888888","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.009779454595","20:08:57"
"20:08:40","0.3511111111111111","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.01390137363375","20:08:41"
"20:08:39","-0.1111111111111111","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.0266489856475","20:08:48"
"20:08:51","0.35777777777777775","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.01381332307","20:08:55"
"20:08:51","-0.09111111111111111","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.00568397660375","20:08:53"
"20:08:49","-0.10111111111111111","1",0,"0.28857142857142857143","0.94","0.01666666666666666667","0.02581563819","20:08:55"
